,bt,km,ownerNo,oem,model,Insurance Validity,Fuel Type,Transmission,Mileage,Engine,Torque,Engine and Transmission,Displacement,No of Cylinder,Values per Cylinder,Dimensions & Capacity,Length,Width,Height,Seating Capacity,Turning Radius,Top Speed,No Door Numbers,Wheel Size,Alloy Wheel Size,City,bhp,rpm,Reg_age,price_in_lakhs
1614,Hatchback,61000,2,Honda,Honda Jazz,Comprehensive,Petrol,Manual,18.7,1199,110.0,11.0,1199,4.0,4.0,5.0,3955,1694,1544,5,51,172.0,5,15.0,15.0,Chennai,887.0,6000.0,8,5.3
1615,Sedan,50000,3,Mercedes-Benz,Mercedes-Benz S-Class,Comprehensive,Diesel,Automatic,13.0,2987,50.0,13.0,2987,6.0,4.0,8.0,5206,1871,1473,5,61,250.0,4,17.0,17.0,Chennai,210.0,210.0,15,17.0
1616,Sedan,23000,1,BMW,BMW 5 Series,Comprehensive,Diesel,Automatic,18.12,1995,400.0,11.0,1995,4.0,4.0,7.0,4907,2102,1464,5,56,231.0,4,18.0,18.0,Chennai,190.0,190.0,6,43.75
1617,Sedan,17000,1,BMW,BMW 7 Series,Comprehensive,Diesel,Automatic,16.46,2993,560.0,13.0,2993,6.0,4.0,7.0,5219,2142,1481,5,625,250.0,4,19.0,19.0,Chennai,258.0,258.0,5,82.0
1618,Hatchback,102958,1,Maruti,Maruti Celerio,Comprehensive,Petrol,Automatic,23.1,998,90.0,13.0,998,3.0,4.0,8.0,3715,1635,1565,5,47,150.0,5,16.0,16.0,Chennai,6704.0,6000.0,7,4.2
1619,Sedan,62900,1,Toyota,Toyota Corolla Altis,Comprehensive,Diesel,Manual,21.43,1364,205.0,11.0,1364,4.0,4.0,7.0,4620,1776,1475,5,53,165.0,4,15.0,15.0,Chennai,872.0,3800.0,11,7.75
1620,Hatchback,65076,2,Maruti,Maruti Wagon R,Comprehensive,Petrol,Manual,20.51,998,90.0,11.0,998,3.0,4.0,8.0,3599,1495,1700,5,46,152.0,5,16.0,16.0,Chennai,6704.0,6200.0,9,3.95
1621,Hatchback,75876,1,Maruti,Maruti Baleno,Comprehensive,Petrol,Manual,21.4,1197,115.0,11.0,1197,4.0,4.0,8.0,3995,1745,1510,5,49,180.0,5,16.0,16.0,Chennai,831.0,6000.0,7,5.33
1622,Hatchback,98911,1,Hyundai,Hyundai i20,Third Party insurance,Petrol,Manual,18.6,1197,114.7,11.0,1197,4.0,4.0,7.0,3985,1734,1505,5,52,170.0,5,16.0,16.0,Chennai,8183.0,6000.0,9,5.47
1623,Hatchback,45000,1,Maruti,Maruti Celerio,Comprehensive,Petrol,Manual,23.1,998,90.0,13.0,998,3.0,4.0,8.0,3715,1635,1565,5,47,150.0,5,16.0,16.0,Chennai,6704.0,6000.0,9,3.95
1624,Sedan,76089,1,Hyundai,Hyundai Verna,Third Party,Diesel,Automatic,19.08,1582,259.9,13.0,1582,4.0,4.0,5.0,4375,1700,1475,5,52,190.0,4,16.0,16.0,Chennai,1262.0,126.0,7,9.08
1625,Hatchback,54505,2,Hyundai,Hyundai Grand i10,Third Party,Petrol,Manual,18.9,1197,113.75,11.0,1197,4.0,4.0,7.0,3765,1660,1520,5,48,165.0,5,16.0,16.0,Chennai,8186.0,6000.0,7,5.21
1626,Sedan,24000,1,Audi,Audi A3,Third Party insurance,Diesel,Automatic,20.38,1968,320.0,12.0,1968,4.0,4.0,8.0,4458,1796,1416,5,535,215.0,4,16.0,16.0,Chennai,143.0,143.0,4,22.9
1627,Sedan,96573,1,Maruti,Maruti Swift Dzire,Zero Dep,Petrol,Manual,22.41,1197,113.0,6.0,1197,4.0,4.0,7.0,3995,1735,1515,5,48,165.0,4,16.0,16.0,Chennai,8850.0,6000.0,8,5.07
1628,SUV,30000,1,Kia,Kia Seltos,Comprehensive,Diesel,Automatic,18.9,1493,250.0,9.0,1493,4.0,4.0,5.0,4315,1800,1645,5,53,165.0,5,17.0,17.0,Chennai,11343.0,113.0,5,16.25
1629,Hatchback,63720,2,Hyundai,Hyundai Grand i10,Comprehensive,Petrol,Manual,18.9,1197,114.0,11.0,1197,4.0,4.0,7.0,3765,1660,1520,5,48,165.0,5,14.0,14.0,Chennai,82.0,6000.0,8,5.28
1630,Hatchback,14411,1,Maruti,Maruti Alto 800,Comprehensive,Petrol,Manual,22.05,796,69.0,7.0,796,3.0,4.0,8.0,3445,1515,1475,5,46,165.0,5,16.0,16.0,Chennai,4733.0,6000.0,3,4.35
1631,SUV,11000,1,Volkswagen,Volkswagen Taigun,Comprehensive,Petrol,Automatic,18.41,999,178.0,9.0,999,3.0,4.0,8.0,4221,1760,1612,5,505,165.0,5,16.0,16.0,Chennai,11398.0,113.0,2,14.9
1632,SUV,21000,1,Skoda,Skoda Kushaq,Comprehensive,Petrol,Automatic,18.86,1498,250.0,9.0,1498,4.0,4.0,7.0,4225,1760,1612,5,53,165.0,5,17.0,17.0,Chennai,14751.0,147.0,2,17.9
1633,SUV,34392,1,Honda,Honda WR-V,Comprehensive,Petrol,Manual,17.5,1199,110.0,11.0,1199,4.0,4.0,5.0,3999,1734,1601,5,53,164.26,5,16.0,16.0,Chennai,887.0,6000.0,7,6.25
1634,Hatchback,20000,1,Hyundai,Hyundai Grand i10 Nios,Third Party insurance,Petrol,Manual,20.7,1197,113.8,8.0,1197,4.0,4.0,5.0,3805,1680,1520,5,53,165.0,5,14.0,14.0,Chennai,8186.0,6000.0,2,6.9
1635,SUV,10000,1,Kia,Kia Sonet,Third Party insurance,Petrol,Manual,18.2,998,172.0,9.0,998,3.0,4.0,5.0,3995,1790,1642,5,53,165.0,5,16.0,16.0,Chennai,11836.0,118.0,2,13.5
1636,SUV,20000,1,MG,MG Astor,Third Party insurance,Petrol,Automatic,14.82,1498,144.0,8.0,1498,4.0,4.0,5.0,4323,1809,1650,5,53,165.0,5,17.0,17.0,Chennai,10849.0,108.0,2,15.5
1637,Hatchback,47000,1,Toyota,Toyota Glanza,Comprehensive,Petrol,Automatic,19.56,1197,113.0,8.0,1197,4.0,4.0,6.0,3995,1745,1510,5,49,165.0,5,16.0,16.0,Chennai,8180.0,6000.0,5,7.9
