,width,reg_age,length,wheel size,alloy wheel size,rpm,km,city,torque,top speed,mileage,height,model,engine and transmission,transmission,engine,displacement
7441,0.4864197530864198,0.38095238095238093,0.579983922829582,18.0,18.0,0.020606060606060607,0.0064909090909090915,5,0.3492664458116422,0.6612903225806451,0.08140234727655732,1.3751473360225255e-05,205,11.0,0,0.42860000000000004,0.42860000000000004
7442,0.1358024691358024,0.09523809523809523,0.23754019292604522,16.0,16.0,0.8333333333333334,0.0011327272727272729,5,0.10080454330336015,0.532258064516129,0.10999097201324104,1.842430411369985e-05,176,9.0,0,0.1996,0.1996
7443,0.4950617283950616,0.14285714285714285,0.409565916398714,16.0,16.0,0.01787878787878788,0.005454545454545455,5,0.19545669663984855,0.532258064516129,0.07711405356605477,2.1228002565784615e-05,265,8.0,1,0.2398,0.2398
7444,0.35185185185185186,0.047619047619047616,0.41036977491961424,15.0,15.0,0.9090909090909091,0.004586909090909091,5,0.12446758163748224,0.532258064516129,0.08441167619620826,1.0,59,8.0,0,0.2398,0.2398
7445,0.45679012345679015,0.19047619047619047,0.5209003215434085,17.0,17.0,0.018333333333333333,0.008494,5,0.17297681022243255,0.532258064516129,0.06560337044839001,2.5166531343713205e-05,73,11.0,1,0.31820000000000004,0.31820000000000004
7446,0.22839506172839497,0.4761904761904761,0.24557877813504825,13.0,13.0,0.9090909090909091,0.003636363636363637,5,0.12659725508755323,0.532258064516129,0.09990972013241048,1.7489737963004935e-05,89,13.0,1,0.2394,0.2394
7447,0.40123456790123435,0.23809523809523808,0.5711414790996785,16.0,16.0,0.015606060606060606,0.02181818181818182,5,0.15759583530525317,0.532258064516129,0.08734577189286791,2.6835399469954128e-05,165,13.0,0,0.2924,0.2924
7448,0.35679012345679006,0.42857142857142855,0.567524115755627,14.0,14.0,0.015909090909090907,0.01181818181818182,5,0.29010884997633696,0.532258064516129,0.10096298525428829,1.1882341058835408e-05,249,11.0,1,0.3196,0.3196
7449,0.35185185185185186,0.23809523809523808,0.41036977491961424,14.0,14.0,0.9090909090909091,0.016545454545454547,5,0.12446758163748224,0.5161290322580645,0.09343966295516101,1.4218756435572713e-05,59,11.0,1,0.2398,0.2398
7450,0.4320987654320987,0.2857142857142857,0.41036977491961424,16.0,16.0,0.9090909090909091,0.008181818181818182,5,0.13006389020350212,0.5161290322580645,0.07606078844417696,1.782351158825312e-05,91,11.0,1,0.2394,0.2394
7452,0.39506172839506193,0.19047619047619047,0.6093247588424437,16.0,16.0,0.015606060606060606,0.005454545454545455,5,0.15759583530525317,0.532258064516129,0.10893770689136323,1.3150680834778523e-05,163,12.0,1,0.2924,0.2924
7453,0.4135802469135801,0.2857142857142857,0.41036977491961424,16.0,16.0,0.9090909090909091,0.01090909090909091,5,0.13038334122101278,0.5806451612903226,0.10773397532350285,1.4819548961019446e-05,157,11.0,1,0.2394,0.2394
7454,0.35185185185185186,0.42857142857142855,0.5188906752411577,15.0,15.0,0.8484848484848485,0.010181818181818183,5,0.15049692380501656,0.532258064516129,0.07297622630153477,1.4819548961019446e-05,282,11.0,1,0.2992,0.2992
7455,0.3580246913580247,0.3333333333333333,0.5631028938906752,16.0,16.0,0.018333333333333333,0.009894363636363637,5,0.17759110269758635,0.632258064516129,0.07470659043033406,1.248313358428214e-05,86,13.0,1,0.31820000000000004,0.31820000000000004
7456,0.406172839506173,0.14285714285714285,0.4087620578778135,16.0,16.0,0.946969696969697,0.004135636363636364,5,0.10790345480359678,0.532258064516129,0.08365934396629551,2.369792739262118e-05,243,7.0,0,0.1998,0.1998
7457,0.12962962962962954,0.14285714285714285,0.18930868167202575,16.0,16.0,0.9090909090909091,0.000979090909090909,5,0.07595835305253194,0.532258064516129,0.11262413481793562,1.248313358428214e-05,155,7.0,1,0.1592,0.1592
7458,0.8345679012345679,0.42857142857142855,0.7801446945337622,17.0,17.0,0.026363636363636363,0.0073409090909090915,5,0.4439185991481306,0.7161290322580646,0.07974721637074933,1.1148039083289403e-05,4,11.0,0,0.3936,0.3936
7459,0.4506172839506173,0.09523809523809523,0.41036977491961424,16.0,16.0,0.01787878787878788,0.0019703636363636364,5,0.19737340274491244,0.532258064516129,0.0993078543484803,1.4485775335771261e-05,90,8.0,0,0.1996,0.1996
7460,0.12962962962962954,0.14285714285714285,0.18930868167202575,16.0,16.0,0.9090909090909091,0.000822,5,0.07595835305253194,0.532258064516129,0.11262413481793562,1.248313358428214e-05,155,7.0,1,0.1592,0.1592
7462,0.40123456790123435,0.09523809523809523,0.41036977491961424,16.0,16.0,0.9090909090909091,0.0012372727272727273,5,0.12801703738760056,0.532258064516129,0.11533253084562145,1.515332258626763e-05,180,6.0,1,0.2394,0.2394
7463,0.4444444444444444,0.5714285714285714,0.64991961414791,16.0,16.0,0.03090909090909091,0.008545454545454545,5,0.5858968291528632,0.7354838709677419,0.05913331327114054,1.0614001282892307e-05,197,10.0,0,0.42860000000000004,0.42860000000000004
7464,0.1358024691358024,0.09523809523809523,0.23754019292604522,16.0,16.0,0.8333333333333334,0.004315090909090909,5,0.10080454330336015,0.532258064516129,0.10999097201324104,1.842430411369985e-05,176,9.0,0,0.1996,0.1996
7465,0.1358024691358024,0.09523809523809523,0.23754019292604522,16.0,16.0,0.8333333333333334,0.0017223636363636365,5,0.09962139138665405,0.532258064516129,0.10999097201324104,1.8624568288848762e-05,176,7.0,1,0.1996,0.1996
7466,0.508641975308642,0.4761904761904761,0.5389871382636657,16.0,16.0,0.016363636363636365,0.027272727272727275,5,0.2877425461429247,0.532258064516129,0.08975323502858865,2.7169173095202312e-05,236,11.0,1,0.2922,0.2922
7467,0.3086419753086418,0.38095238095238093,0.41036977491961424,15.0,15.0,0.9090909090909091,0.012727272727272728,5,0.12920018930430666,0.5548387096774193,0.07387902497743004,1.5487096211515815e-05,87,11.0,0,0.2394,0.2394
7471,0.537037037037037,0.7142857142857142,0.7942122186495177,16.0,16.0,0.026818181818181817,0.01625418181818182,5,0.256980596308566,0.532258064516129,0.034757749021968105,1.248313358428214e-05,68,11.0,0,0.4708,0.4708
7472,0.39382716049382727,0.23809523809523808,0.5892282958199357,16.0,16.0,0.018333333333333333,0.009090909090909092,5,0.17297681022243255,0.532258064516129,0.07463135720734276,1.248313358428214e-05,86,12.0,1,0.31820000000000004,0.31820000000000004
7473,0.5123456790123455,0.42857142857142855,0.7439710610932477,17.0,17.0,0.02393939393939394,0.012727272727272728,5,0.24633222905821106,0.532258064516129,0.09088173337345773,1.2816907209530325e-05,279,12.0,0,0.4988,0.4988
7474,0.5246913580246912,0.2857142857142857,0.41036977491961424,16.0,16.0,0.015151515151515152,0.006727272727272728,5,0.2782773308092759,0.5032258064516129,0.08584110743304244,3.5914042076704787e-05,142,10.0,1,0.29860000000000003,0.29860000000000003
7475,0.33333333333333326,0.5714285714285714,0.329983922829582,16.0,16.0,0.946969696969697,0.0076363636363636364,5,0.11500236630383341,0.532258064516129,0.06409870598856457,9.278906781899556e-06,54,11.0,1,0.23920000000000002,0.23920000000000002
7476,0.12962962962962954,0.3333333333333333,0.22950160771704198,16.0,16.0,0.9090909090909091,0.003525818181818182,5,0.10080454330336015,0.46774193548387094,0.12691844718627746,1.248313358428214e-05,156,11.0,0,0.1996,0.1996
7477,0.12962962962962954,0.09523809523809523,0.18930868167202575,16.0,16.0,0.9090909090909091,0.0017312727272727273,5,0.07595835305253194,0.532258064516129,0.11262413481793562,1.248313358428214e-05,155,7.0,1,0.1592,0.1592
7478,0.33333333333333326,0.42857142857142855,0.4083601286173635,16.0,16.0,0.9090909090909091,0.005250909090909091,5,0.12328442972077615,0.5161290322580645,0.08215467950647007,1.4485775335771261e-05,59,10.0,1,0.2396,0.2396
7479,0.22839506172839497,0.3333333333333333,0.26768488745980723,16.0,16.0,0.9393939393939394,0.0034550909090909094,5,0.12032654992901089,0.46774193548387094,0.08666867288594646,1.5487096211515815e-05,27,11.0,1,0.2398,0.2398
