,bt,km,ownerno,oem,model,insurance validity,fuel type,transmission,mileage,engine,torque,engine and transmission,displacement,no of cylinder,values per cylinder,dimensions & capacity,length,width,height,seating capacity,turning radius,top speed,no door numbers,wheel size,alloy wheel size,city,bhp,rpm,reg_age,price_in_lakhs
188,7,70000,2,6,50,5,4,0,15.63,1499,140.0,13.0,1499,4.0,4.0,7.0,3999,1765,1708,5,53,182.0,5,16.0,16.0,0,1104.0,110.0,8,6.75
189,2,70000,2,8,61,5,4,1,19.4,1198,109.0,11.0,1198,4.0,4.0,7.0,3610,1680,1500,5,45,164.0,5,16.0,16.0,0,868.0,6000.0,11,3.3
190,8,46429,2,30,295,5,4,0,17.8,1496,140.0,11.0,1496,4.0,4.0,6.0,4425,1730,1495,5,51,165.0,4,16.0,16.0,0,1055.0,105.0,6,8.75
191,2,17624,1,20,157,2,4,1,21.4,1197,115.0,11.0,1197,4.0,4.0,8.0,3995,1745,1510,5,49,180.0,5,16.0,16.0,0,831.0,6000.0,6,8.69
192,8,100000,2,31,305,5,1,1,20.54,1598,250.0,11.0,1598,4.0,4.0,6.0,4384,1699,1466,5,54,186.0,4,15.0,15.0,0,1036.0,103.0,12,4.25
193,8,30000,1,8,63,5,4,1,17.4,1497,145.0,13.0,1497,4.0,4.0,8.0,4440,1695,1495,5,53,189.0,4,15.0,15.0,0,1176.0,117.0,5,10.7
194,7,49690,2,6,50,5,4,1,15.9,1496,149.0,13.0,1496,3.0,4.0,6.0,3998,1765,1647,5,53,165.0,4,16.0,16.0,0,12069.0,120.0,6,10.25
195,7,110000,1,17,147,5,1,1,16.0,2179,330.0,11.0,2179,4.0,4.0,6.0,4585,1890,1785,7,56,185.0,5,16.0,16.0,0,140.0,140.0,8,10.0
196,8,50000,1,5,43,5,4,1,16.0,1368,115.0,10.0,1368,4.0,4.0,4.0,4560,1730,1487,5,55,165.0,4,15.0,15.0,0,90.0,6000.0,15,3.75
197,8,50000,1,5,43,5,4,1,16.0,1368,115.0,10.0,1368,4.0,4.0,4.0,4560,1730,1487,5,55,165.0,4,15.0,15.0,0,90.0,6000.0,15,3.75
198,7,55702,1,6,50,2,4,0,14.8,1497,150.0,13.0,1497,3.0,4.0,6.0,3998,1765,1647,5,53,171.43,4,16.0,16.0,0,12136.0,121.0,6,8.44
